line name	trials
HADAKA_MUGI|PI87752	2011_9K_NB_allplates
HADAKA_MUGI|PI87757	2011_9K_NB_allplates
HADAKAMUGI	2011_9K_NB_allplates
HANFUL	2011_9K_NB_allplates
HANKKIJA673	2011_9K_NB_allplates
HARAMACHI	2011_9K_NB_allplates
HARROW9	2011_9K_NB_allplates
HARUMAKI_ZARAI_SHU	2011_9K_NB_allplates
HASSYLY|PI327639	2011_9K_NB_allplates
HASSYLY|PI372099	2011_9K_NB_allplates
HATVANI445|PI290322	2011_9K_NB_allplates
HATVANI445|PI327617	2011_9K_NB_allplates
HIBERNACULUM2664	2011_9K_NB_allplates
HINOWI	2011_9K_NB_allplates
HMIRA	2011_9K_NB_allplates
HOKA	2011_9K_NB_allplates
HOR1027	2011_9K_NB_allplates
HOR1028	2011_9K_NB_allplates
HOR1129	2011_9K_NB_allplates
HOR1131	2011_9K_NB_allplates
HOR1145	2011_9K_NB_allplates
HOR1171	2011_9K_NB_allplates
HOR1255	2011_9K_NB_allplates
HOR1387	2011_9K_NB_allplates
HOR142	2011_9K_NB_allplates
HOR1790	2011_9K_NB_allplates
HOR1791	2011_9K_NB_allplates
HOR1850	2011_9K_NB_allplates
HOR1941	2011_9K_NB_allplates
HOR2003	2011_9K_NB_allplates
HOR2246	2011_9K_NB_allplates
HOR2281	2011_9K_NB_allplates
HOR2414	2011_9K_NB_allplates
HOR2486	2011_9K_NB_allplates
HOR2928	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
HOR3401	2011_9K_NB_allplates
HOR3436	2011_9K_NB_allplates
HOR3464	2011_9K_NB_allplates
HOR375	2011_9K_NB_allplates
HOR377	2011_9K_NB_allplates
HOR385	2011_9K_NB_allplates
HOR388	2011_9K_NB_allplates
HOR392	2011_9K_NB_allplates
HOR4082	2011_9K_NB_allplates
HOR4097	2011_9K_NB_allplates
HOR4101	2011_9K_NB_allplates
HOR4144	2011_9K_NB_allplates
HOR4152	2011_9K_NB_allplates
HOR4154	2011_9K_NB_allplates
HOR4157	2011_9K_NB_allplates
HOR4159	2011_9K_NB_allplates
HOR4169	2011_9K_NB_allplates
HOR4170	2011_9K_NB_allplates
HOR4175	2011_9K_NB_allplates
HOR4176	2011_9K_NB_allplates
HOR4177	2011_9K_NB_allplates
HOR4178	2011_9K_NB_allplates
HOR4180	2011_9K_NB_allplates
HOR4182	2011_9K_NB_allplates
HOR4185	2011_9K_NB_allplates
HOR4188	2011_9K_NB_allplates
HOR443	2011_9K_NB_allplates
HOR450	2011_9K_NB_allplates
HOR451	2011_9K_NB_allplates
HOR492	2011_9K_NB_allplates
HOR503	2011_9K_NB_allplates
HOR52	2011_9K_NB_allplates
HOR535	2011_9K_NB_allplates
HOR556	2011_9K_NB_allplates
HOR592	2011_9K_NB_allplates
HOR671	2011_9K_NB_allplates
HOR694	2011_9K_NB_allplates
HOR703	2011_9K_NB_allplates
HORDZAU18|PI327641	2011_9K_NB_allplates
HOSHIARPUR	2011_9K_NB_allplates
HUARISATA	2011_9K_NB_allplates
HUO_DENG_MANG	2011_9K_NB_allplates
HUO_SHAO_TOU	2011_9K_NB_allplates
IAR/B/155-2	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
IAR/B/175-1	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
IAR/B/361-2	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
IAR/B/38-1	2011_9K_NB_allplates	Ethiopia_Eritrea_9K
ICIRPAN_NO.33	2011_9K_NB_allplates
II-11986-2B-3T-3B	2011_9K_NB_allplates
II-373-1B-4B-1T-1-13B	2011_9K_NB_allplates
INCA	2011_9K_NB_allplates
INRA768	2011_9K_NB_allplates
ISHTAR	2011_9K_NB_allplates
ISOGENIC:_GILLETTE-HAIRED_GLUME_(STB_S)	2011_9K_NB_allplates
ISOGENIC:_NNLK2LK2VVII	2011_9K_NB_allplates
ISOGENIC:_POWDERY_MILDEW_SUS_(MLA6)	2011_9K_NB_allplates
ISOGENIC:_RR_WHITE_ALEURONE	2011_9K_NB_allplates
ISOGENIC:_WHITE_STRIPE_MUTATOR	2011_9K_NB_allplates
ISOGENIC:110-R-8	2011_9K_NB_allplates
ISOGENIC:210-6-8	2011_9K_NB_allplates
ISOGENIC:218-ML-7	2011_9K_NB_allplates
ISOGENIC:6-ROW_SMALL_LATERAL_LAX_HEAD	2011_9K_NB_allplates
ISOGENIC:85-HS-12	2011_9K_NB_allplates
IV/100	2011_9K_NB_allplates
IV/110	2011_9K_NB_allplates
IV/121	2011_9K_NB_allplates
IV/138	2011_9K_NB_allplates
IV/156	2011_9K_NB_allplates
IV/169	2011_9K_NB_allplates
IV/170	2011_9K_NB_allplates
IV/172	2011_9K_NB_allplates
IV/181	2011_9K_NB_allplates
IV/182	2011_9K_NB_allplates
IV/183	2011_9K_NB_allplates
IV/188	2011_9K_NB_allplates
IV/191	2011_9K_NB_allplates
IV/192	2011_9K_NB_allplates
IV/197	2011_9K_NB_allplates
IV/211	2011_9K_NB_allplates
IV/22	2011_9K_NB_allplates
IV/24	2011_9K_NB_allplates
IV/240	2011_9K_NB_allplates
IV/39	2011_9K_NB_allplates
IV/43	2011_9K_NB_allplates
IV/52	2011_9K_NB_allplates
IV/64	2011_9K_NB_allplates
IV/70	2011_9K_NB_allplates
IV/74	2011_9K_NB_allplates
IV/88	2011_9K_NB_allplates
J-20|PI329131	2011_9K_NB_allplates
J-25	2011_9K_NB_allplates
JADAR	2011_9K_NB_allplates
JAN	2011_9K_NB_allplates
JAO|PI176021	2011_9K_NB_allplates
JAO|PI176035	2011_9K_NB_allplates
JAOEBAHARI_DEHIMI	2011_9K_NB_allplates
JAU	2011_9K_NB_allplates
JAW	2011_9K_NB_allplates
JAWO|PI513166	2011_9K_NB_allplates
JAWO|PI513167	2011_9K_NB_allplates
JAWO|PI513169	2011_9K_NB_allplates
JAWO|PI513195	2011_9K_NB_allplates
JAWO|PI513197	2011_9K_NB_allplates
JAWO|PI513200	2011_9K_NB_allplates
JEBALI|CIHO15304	2011_9K_NB_allplates
JEBALI|CIHO15309	2011_9K_NB_allplates
JEBALI|CIHO15336	2011_9K_NB_allplates
JEBALI|CIHO15353	2011_9K_NB_allplates
JOU	2011_9K_NB_allplates
JOW|PI223509	2011_9K_NB_allplates
K483	2011_9K_NB_allplates
K493	2011_9K_NB_allplates
KABIN_KATAKI4	2011_9K_NB_allplates
KAGAWA-HADAKA1	2011_9K_NB_allplates
KAGELKORN	2011_9K_NB_allplates
KAIRYO_BOZU	2011_9K_NB_allplates
KAKAPO	2011_9K_NB_allplates
KALA_JAO	2011_9K_NB_allplates
KALJAN	2011_9K_NB_allplates
